width,height,rimsize,tire url
155,70,13,https://www.pitstoparabia.com/en/kinergy-eco-k425-hk-161a0101557013tk425a-29586
165,None,13C,https://www.pitstoparabia.com/en/ecomile-30660
165,None,13C,https://www.pitstoparabia.com/en/maxxis-165r13c94-93r-ue168n-31431
165,60,14,https://www.pitstoparabia.com/en/optimo-me02-k424-4-hk-161a9201656014hk424a
165,60,14,https://www.pitstoparabia.com/en/ra610-31451
165,60,14,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31528
165,60,14,https://www.pitstoparabia.com/en/roadmarch-5074-31248
165,60,14,https://www.pitstoparabia.com/en/tracmax1042-31679
165,60,14,https://www.pitstoparabia.com/en/kinergy-eco-k425-1-hk-161a0101656014k425na-2016-24880
165,60,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-roa1200046221-31406
165,60,14,https://www.pitstoparabia.com/en/solus-hs11-kum-2245693-27188
165,60,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-3536-27242
165,60,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-roa1200046221-33614
165,60,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-3536-32149
165,65,14,https://www.pitstoparabia.com/en/ht1000-zee1200032143-32741
165,65,14,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-32401
165,65,14,https://www.pitstoparabia.com/en/tracmax1042-32931
165,65,14,https://www.pitstoparabia.com/en/ht1000-zee1200032143-33537
165,65,14,https://www.pitstoparabia.com/en/kinergy-eco-k425-2-hk-161a0101755015hk425a-2015-30552
165,65,14,https://www.pitstoparabia.com/en/ek1000-32848
165,65,14,https://www.pitstoparabia.com/en/roadmarch-5074-31222
165,65,14,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-32217
165,65,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-3536-32014
165,65,14,https://www.pitstoparabia.com/en/kinergy-eco-k425-2-hk-161a0101755015hk425a-2015-30403
165,65,14,https://www.pitstoparabia.com/en/ecowing-es01-kh27-kum-2163473-33524
165,65,14,https://www.pitstoparabia.com/en/contiecocontact-5-23-30709
165,70,13,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31813
165,70,13,https://www.pitstoparabia.com/en/atl19017-31765
165,70,14,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31524
165,70,14,https://www.pitstoparabia.com/en/n-blue-nex-3102-30610
165,70,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-1338-30439
165,70,14,https://www.pitstoparabia.com/en/bluearth-ae50-yok-3540-30620
175,50,15,https://www.pitstoparabia.com/en/npriz-rh1-nex-2251-28933
175,50,15,https://www.pitstoparabia.com/en/kinergy-eco-k425-2-hk-161a0101755015hk425a-24881
175,50,15,https://www.pitstoparabia.com/en/npriz-rh1-nex-2251-32444
175,55,15,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31815
175,55,15,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-1338-32360
175,60,13,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31523
175,60,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-3536-30616
175,60,15,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31526
175,65,14,https://www.pitstoparabia.com/en/g-fit-as-30701
175,65,14,https://www.pitstoparabia.com/en/ek1000-27043
175,65,14,https://www.pitstoparabia.com/en/ht1000-zee1200032143-33544
175,65,14,https://www.pitstoparabia.com/en/g4000-31949
175,65,14,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31945
175,65,14,https://www.pitstoparabia.com/en/pearly-1-31026
175,65,14,https://www.pitstoparabia.com/en/roadmarch-5074-31960
175,65,14,https://www.pitstoparabia.com/en/ecomile-33434
175,65,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-roa1200046221-31407
175,65,14,https://www.pitstoparabia.com/en/ht1000-zee1200032143-32769
175,65,14,https://www.pitstoparabia.com/en/ar-9303-2021-27644
175,65,14,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31863
175,65,14,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-32218
175,65,14,https://www.pitstoparabia.com/en/riken-161z7501756514roadxa-2019-29732
175,65,14,https://www.pitstoparabia.com/en/ek1000-32849
175,65,14,https://www.pitstoparabia.com/en/n5000-plus-roa1200033417-nc-30765
175,65,14,https://www.pitstoparabia.com/en/riken-161z7501756514roadxa-2019-33395
175,65,14,https://www.pitstoparabia.com/en/optimo-k715-6-hk-161a0101756514k715xa
175,65,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-roa1200046221-33615
175,65,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-1338-26804
175,65,14,https://www.pitstoparabia.com/en/htr-t4-sm-g1400175st3c-29505
175,65,14,https://www.pitstoparabia.com/en/bluearth-e51b-yok-1335195-65r15-es32tll-33287
175,65,14,https://www.pitstoparabia.com/en/n-blue-hd-plus-nex-1338-32008
175,65,14,https://www.pitstoparabia.com/en/bluearth-e51b-yok-1335195-65r15-es32tll-28634
175,65,14,https://www.pitstoparabia.com/en/proxes-cf2-1-ty-185-65r15-cf2-11886
175,65,14,https://www.pitstoparabia.com/en/proxes-cf2-1-ty-185-65r15-cf2-33502
175,65,14,https://www.pitstoparabia.com/en/comfortcontact-cc6-con3585250000-29053
175,65,14,https://www.pitstoparabia.com/en/bluearth-e51b-yok-1335195-65r15-es32tll-28335
175,65,14,https://www.pitstoparabia.com/en/bluearth-e51b-yok-1335195-65r15-es32tll-30249
175,65,14,https://www.pitstoparabia.com/en/sp-sport-lm704-3-32917
175,65,14,https://www.pitstoparabia.com/en/ecopia-ep150-32486
175,65,15,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31520
175,65,15,https://www.pitstoparabia.com/en/ek1000-32864
175,65,15,https://www.pitstoparabia.com/en/thu-275-55r20-ht603-31864
